"rep","fold","Taxa","observed","predicted"
3,1,"PI 497318",31.7422567795936,30.9829881267206
3,1,"PI 497639",-10.5806964808468,-10.7557725052624
3,1,"PI 502120",7.61631474631251,22.9241294787593
3,2,"PI 157542",76.5152772600273,81.7323014262611
3,2,"PI 159786",91.9795136139364,91.8712183572627
3,2,"PI 270998",-1.28088253738996,-3.80271135534329
3,2,"PI 274193",24.0338362276932,26.5542555579797
3,2,"PI 288210",14.8949132937833,28.3569536635658
3,2,"PI 295250",93.8116442119282,92.828894871917
3,2,"PI 295730",-11.8796500206539,-23.9797425729149
3,2,"PI 339960",-19.139805353552,-23.5479096640305
3,2,"PI 343384",3.09862563909943,-14.6381652760018
3,2,"PI 355268",83.5926065435547,81.6471101871296
3,2,"PI 371521",30.2241303065118,60.6603165116893
3,2,"PI 372271",95.027229009404,93.3911733272389
3,2,"PI 399581",6.17677612805178,-17.03031551119
3,2,"PI 408743",-12.8417941895264,-13.5951255642107
3,2,"PI 475918",-23.2701323113072,-22.4574309995376
3,2,"PI 476596",-0.54667913283332,-12.0308274477923
3,2,"PI 476636",92.1309729640279,91.5414961004069
3,2,"PI 494795",8.2364494572083,6.42594681739159
3,2,"PI 496448",94.7367033580305,94.0300155570897
3,2,"PI 497395",32.1872334414205,28.9151279552228
3,2,"PI 502040",13.1754427217406,37.8100701566791
3,3,"PI 155107",-33.0304284762533,-32.31507918273
3,3,"PI 158854",93.3876253818025,93.8774378669566
3,3,"PI 200441",-17.4867363486021,-19.215355383568
3,3,"PI 268755",-34.6790842345355,-33.3448268566626
3,3,"PI 290560",-36.5730859340983,-38.9351821285846
3,3,"PI 292950",93.5519341824262,93.5123001856765
3,3,"PI 298854",89.0901845491034,87.7160165214395
3,3,"PI 319768",-3.0947565821953,3.71584891872714
3,3,"PI 323268",84.9638228003057,86.8807521644742
3,3,"PI 337406",-15.5986954843422,-18.475032606496
3,3,"PI 370331",26.0050898783708,51.6607366566612
3,3,"PI 433347",-8.40499945385635,1.85405230534479
3,3,"PI 461427",-52.8331073584546,-53.4206168150209
3,3,"PI 471952",-14.2039684045055,-48.4178811736536
3,3,"PI 471954",-22.923447881111,-58.5027378055666
3,3,"PI 475863",-21.7910590813281,-28.1667362888902
3,3,"PI 475931",7.58481242635805,9.74738801148975
3,3,"PI 493581",-52.467277874188,-45.3953310533066
3,3,"PI 493693",-19.7180182573206,-19.2285727697658
3,3,"PI 493729",-21.4277665654921,-32.7703492308239
3,3,"PI 502111",-8.61913127345229,-11.5314199287051
3,4,"PI 162655",-47.4045097307795,-43.1198423631524
3,4,"PI 259658",100.707784632293,89.7332139826466
3,4,"PI 259851",96.1103353979561,90.6386359051363
3,4,"PI 268806",90.8657621252714,91.8861256067818
3,4,"PI 290536",93.7106746878443,91.4191663642587
3,4,"PI 295309",94.3003649781333,93.0132251819912
3,4,"PI 296550",7.58476294109594,18.1071426658296
3,4,"PI 313129",14.9161544517895,24.9055959068778
3,4,"PI 319770",5.60792539732361,-17.5003116910119
3,4,"PI 325943",-55.6161781982585,-50.5999318963347
3,4,"PI 331297",-0.797372907023051,18.2334338383169
3,4,"PI 337399",-48.891681182551,-43.5175127964722
3,4,"PI 403813",-24.2800736050239,-24.1497204893923
3,4,"PI 407667",-44.1385440155654,-43.2399064571401
3,4,"PI 429420",3.82761765604124,-12.015429399625
3,4,"PI 442768",23.9078614520448,40.0681778394887
3,4,"PI 482120",-33.3095785090718,-38.2936882320024
3,4,"PI 493717",-16.358090909818,-14.6616190847438
3,4,"PI 493938",-15.6332847605169,-40.9977425368396
3,4,"PI 494034",-13.8212734354372,-47.2132824804607
3,4,"PI 496401",21.2938516538893,53.0936084796146
3,5,"PI 196622",94.484362479052,94.4137026874367
3,5,"PI 196635",91.8808532061868,92.1673941209295
3,5,"PI 240560",-39.1675881289274,-34.3284411622313
3,5,"PI 262038",-45.3195725080565,-49.9168837421457
3,5,"PI 270786",90.8506593776961,92.6375131510666
3,5,"PI 270907",91.9216771993511,92.1962003277237
3,5,"PI 271019",-5.6110404254436,1.8606445132121
3,5,"PI 288146",-46.6743049666706,-42.4166867424294
3,5,"PI 296558",9.08251356251902,4.06782876586874
3,5,"PI 331314",13.7523475204017,-17.1336055066347
3,5,"PI 356004",-52.9949451982828,-52.047870367965
3,5,"PI 372305",18.3010174031283,63.7202552360066
3,5,"PI 461434",-20.275057381311,-24.9691922195521
3,5,"PI 476025",-11.1103233953259,-10.9815395870792
3,5,"PI 478850",-41.4131499911608,-41.2852591784424
3,5,"PI 482189",-13.9503326174076,-29.710008784127
3,5,"PI 493631",-25.0973116550801,-25.9206528705093
3,5,"PI 493880",-23.636920533488,-40.8705002697242
3,5,"PI 497517",-19.5932911626775,-22.6214540301777
3,5,"PI 504614",-34.6991415397245,-31.8883611856408
4,1,"PI 259617",-49.9702615314471,-47.9374883884206
4,1,"PI 268806",90.8657621252714,92.0821998526028
4,1,"PI 270786",90.8506593776961,92.7465685874239
4,1,"PI 271019",-5.6110404254436,4.88247324469542
4,1,"PI 274193",24.0338362276932,26.1002828857741
4,1,"PI 290536",93.7106746878443,91.3950118705466
4,1,"PI 292950",93.5519341824262,93.7751108388726
4,1,"PI 295250",93.8116442119282,93.1263913725625
4,1,"PI 313129",14.9161544517895,26.7813311419716
4,1,"PI 325943",-55.6161781982585,-47.6033240118357
4,1,"PI 371521",30.2241303065118,56.9743893814028
4,1,"PI 372305",18.3010174031283,61.216160996076
4,1,"PI 408743",-12.8417941895264,-8.06207032302192
4,1,"PI 429420",3.82761765604124,-3.30840927335768
4,1,"PI 461427",-52.8331073584546,-47.6014027333743
4,1,"PI 475931",7.58481242635805,9.09046651326934
4,1,"PI 476025",-11.1103233953259,-10.9216499648919
4,1,"PI 476596",-0.54667913283332,-7.52146267338551
4,1,"PI 482189",-13.9503326174076,-26.2652785952074
4,1,"PI 494018",-15.4848038593226,-8.74310490666427
4,1,"PI 494795",8.2364494572083,8.24176679365575
4,2,"PI 162655",-47.4045097307795,-46.1128240109337
4,2,"PI 259836",-13.4113846071158,-29.0636136865977
4,2,"PI 262038",-45.3195725080565,-50.0951294031066
4,2,"PI 268755",-34.6790842345355,-33.233411445111
4,2,"PI 295309",94.3003649781333,93.2159532523155
4,2,"PI 295730",-11.8796500206539,-29.4357465449691
4,2,"PI 319768",-3.0947565821953,0.824766037000135
4,2,"PI 343384",3.09862563909943,-12.3450972279462
4,2,"PI 355271",59.3113990135345,78.7855300718005
4,2,"PI 399581",6.17677612805178,-1.88612786779859
4,2,"PI 442768",23.9078614520448,37.9712826412888
4,2,"PI 468271",20.3866795249287,16.5393008164114
4,2,"PI 471954",-22.923447881111,-65.3917279779798
4,2,"PI 481795",93.6606495311802,94.2859320033832
4,2,"PI 493547",-33.5078715622015,-43.901845762091
4,2,"PI 493693",-19.7180182573206,-15.2240380172918
4,2,"PI 493938",-15.6332847605169,-37.9262842228853
4,2,"PI 494034",-13.8212734354372,-48.0810245494875
4,2,"PI 496401",21.2938516538893,54.1707213003425
4,2,"PI 497318",31.7422567795936,31.787514354014
4,2,"PI 502111",-8.61913127345229,-11.726635136253
4,3,"PI 155107",-33.0304284762533,-32.6293877605518
4,3,"PI 270907",91.9216771993511,92.0455265521728
4,3,"PI 288210",14.8949132937833,22.7704779375725
4,3,"PI 290566",91.9247088400474,91.113214128708
4,3,"PI 290620",19.1869186745998,34.9891154309851
4,3,"PI 298854",89.0901845491034,87.7429885085253
4,3,"PI 319770",5.60792539732361,-35.2715218792637
4,3,"PI 337293",-33.1303500962705,-35.7060592280157
4,3,"PI 337399",-48.891681182551,-46.0315746707294
4,3,"PI 372271",95.027229009404,93.4266255599106
4,3,"PI 403813",-24.2800736050239,-24.8925645811467
4,3,"PI 407667",-44.1385440155654,-45.9198272044617
4,3,"PI 433347",-8.40499945385635,14.0575046769423
4,3,"PI 461434",-20.275057381311,-26.7137053773479
4,3,"PI 475863",-21.7910590813281,-29.8996203709937
4,3,"PI 475918",-23.2701323113072,-25.8299803994128
4,3,"PI 476432",-4.38686752313152,2.72179297359944
4,3,"PI 482120",-33.3095785090718,-38.5398349012637
4,3,"PI 493631",-25.0973116550801,-26.882501247049
4,3,"PI 493729",-21.4277665654921,-31.8306975226243
4,3,"PI 502120",7.61631474631251,17.6212280663254
4,4,"PI 157542",76.5152772600273,81.4063388904068
4,4,"PI 158854",93.3876253818025,93.8031813366441
4,4,"PI 159786",91.9795136139364,92.0246578368155
4,4,"PI 196622",94.484362479052,94.5417057920695
4,4,"PI 196635",91.8808532061868,92.0101359746079
4,4,"PI 200441",-17.4867363486021,-24.5153660902782
4,4,"PI 240560",-39.1675881289274,-27.7498426846323
4,4,"PI 259658",100.707784632293,93.6755200158767
4,4,"PI 268868",91.7512108457322,91.7855653103124
4,4,"PI 270905",23.0458444858713,67.5196251039582
4,4,"PI 288146",-46.6743049666706,-41.9181799223393
4,4,"PI 290560",-36.5730859340983,-28.6244812686852
4,4,"PI 296550",7.58476294109594,24.1962458337832
4,4,"PI 296558",9.08251356251902,22.8830885921916
4,4,"PI 343398",20.9688595511485,68.1326961513519
4,4,"PI 355268",83.5926065435547,81.4747550041759
4,4,"PI 476636",92.1309729640279,91.7381471009192
4,4,"PI 493356",-19.7670824072696,-40.1019735071266
4,4,"PI 493880",-23.636920533488,-40.4821003863392
4,4,"PI 497517",-19.5932911626775,-26.8686960260169
4,4,"PI 497639",-10.5806964808468,-11.0518791719082
4,5,"PI 162857",87.8557386974058,82.9848516494811
4,5,"PI 259851",96.1103353979561,91.9181102687772
4,5,"PI 268586",-14.728322957987,-8.40541031640167
4,5,"PI 268996",-18.7396999989541,-31.5777871773662
4,5,"PI 270998",-1.28088253738996,-4.30172331933565
4,5,"PI 323268",84.9638228003057,82.6203281666936
4,5,"PI 331297",-0.797372907023051,10.8002914427012
4,5,"PI 331314",13.7523475204017,-5.35055895465946
4,5,"PI 337406",-15.5986954843422,-12.4491239640391
4,5,"PI 339960",-19.139805353552,-22.5076243142574
4,5,"PI 356004",-52.9949451982828,-51.0333998315696
4,5,"PI 370331",26.0050898783708,46.3767945449059
4,5,"PI 471952",-14.2039684045055,-55.0706942925687
4,5,"PI 478850",-41.4131499911608,-41.5527750107852
4,5,"PI 493581",-52.467277874188,-44.8702463573638
4,5,"PI 493717",-16.358090909818,-3.85643744057225
4,5,"PI 496448",94.7367033580305,94.3225846779127
4,5,"PI 497395",32.1872334414205,29.1154177039833
4,5,"PI 502040",13.1754427217406,33.3365033841818
4,5,"PI 504614",-34.6991415397245,-33.5009434281698
5,1,"PI 155107",-33.0304284762533,-34.3788734115292
5,1,"PI 240560",-39.1675881289274,-34.3444247314711
5,1,"PI 259658",100.707784632293,91.3597788945089
5,1,"PI 274193",24.0338362276932,27.6176096686652
5,1,"PI 296550",7.58476294109594,14.8544832986249
5,1,"PI 323268",84.9638228003057,86.8989534201736
5,1,"PI 355268",83.5926065435547,81.5126890231809
5,1,"PI 371521",30.2241303065118,61.8572911969895
5,1,"PI 372271",95.027229009404,92.8725326090918
5,1,"PI 403813",-24.2800736050239,-24.3218325790123
5,1,"PI 433347",-8.40499945385635,5.01264420873385
5,1,"PI 461434",-20.275057381311,-26.3328826855352
5,1,"PI 471954",-22.923447881111,-71.5488447421405
5,1,"PI 475863",-21.7910590813281,-31.6688958154766
5,1,"PI 475918",-23.2701323113072,-25.7737051291652
5,1,"PI 476432",-4.38686752313152,-4.00211136064851
5,1,"PI 478850",-41.4131499911608,-44.9604927026314
5,1,"PI 493717",-16.358090909818,-11.1558471542575
5,1,"PI 493880",-23.636920533488,-40.8437046458286
5,1,"PI 494034",-13.8212734354372,-40.6938638526873
5,1,"PI 496448",94.7367033580305,93.4842608584261
5,2,"PI 259836",-13.4113846071158,-19.4231570066937
5,2,"PI 259851",96.1103353979561,92.7738851887251
5,2,"PI 268996",-18.7396999989541,-26.8268880296257
5,2,"PI 270905",23.0458444858713,62.2367406095082
5,2,"PI 271019",-5.6110404254436,-6.13338164494014
5,2,"PI 288146",-46.6743049666706,-43.3353761527526
5,2,"PI 290560",-36.5730859340983,-39.5522842922031
5,2,"PI 295250",93.8116442119282,92.481189131614
5,2,"PI 295309",94.3003649781333,92.8215008254018
5,2,"PI 331297",-0.797372907023051,15.3350766097384
5,2,"PI 343398",20.9688595511485,67.9637060624456
5,2,"PI 481795",93.6606495311802,94.3058023869284
5,2,"PI 482120",-33.3095785090718,-37.7333476694752
5,2,"PI 493356",-19.7670824072696,-38.7853386920399
5,2,"PI 493581",-52.467277874188,-44.8118232163822
5,2,"PI 493693",-19.7180182573206,-10.033921971232
5,2,"PI 494018",-15.4848038593226,-11.0393221222141
